candidate_id,name,city,region,match_level,matched_target_id,matched_target_name,safe_for_auto_link,reason
TC-01,AUTO ECOLE ASTRALE,Yaoundé,Centre,NO_MATCH,,,NO,"chevauchement uniquement composé de vocabulaire générique/faible (ex. ""sciences"") sans mot distinctif partagé ni corroboration (sigle exact identique) — signal insuffisant pour un doublon potentiel (SPRINT MINSANTE-G.2 §9)."
TC-02,AUTO ECOLE FRANCAISE,Douala,Littoral,PROBABLE_MATCH,8e77bf21-d55b-4459-963d-7118f8648c70,École Française de Douala – Pierre Loti,NO,"chevauchement de mots partiel (50%), insuffisant pour STRONG_MATCH."
TC-03,AUTO ECOLE GERMANIA,Douala,Littoral,NO_MATCH,,,NO,"chevauchement uniquement composé de vocabulaire générique/faible (ex. ""sciences"") sans mot distinctif partagé ni corroboration (sigle exact identique) — signal insuffisant pour un doublon potentiel (SPRINT MINSANTE-G.2 §9)."
TC-04,AUTO ECOLE LEO,Yaoundé,Centre,NO_MATCH,,,NO,"chevauchement uniquement composé de vocabulaire générique/faible (ex. ""sciences"") sans mot distinctif partagé ni corroboration (sigle exact identique) — signal insuffisant pour un doublon potentiel (SPRINT MINSANTE-G.2 §9)."
TC-05,AUTO ECOLE TRECY,Yaoundé,Centre,NO_MATCH,,,NO,"chevauchement uniquement composé de vocabulaire générique/faible (ex. ""sciences"") sans mot distinctif partagé ni corroboration (sigle exact identique) — signal insuffisant pour un doublon potentiel (SPRINT MINSANTE-G.2 §9)."
TC-06,AUTO ECOLE TURBO,Yaoundé,Centre,NO_MATCH,,,NO,"chevauchement uniquement composé de vocabulaire générique/faible (ex. ""sciences"") sans mot distinctif partagé ni corroboration (sigle exact identique) — signal insuffisant pour un doublon potentiel (SPRINT MINSANTE-G.2 §9)."
TC-07,AUTO ECOLE TURBO NKOMKANA,Yaoundé,Centre,NO_MATCH,,,NO,"chevauchement uniquement composé de vocabulaire générique/faible (ex. ""sciences"") sans mot distinctif partagé ni corroboration (sigle exact identique) — signal insuffisant pour un doublon potentiel (SPRINT MINSANTE-G.2 §9)."
TC-08,METROPOLITAINE INTERNATIONALE SCES,Yaoundé,Centre,NO_MATCH,,,NO,aucun mot significatif commun avec une cible.
TC-09,AUTO ECOLE MONTHE,,,NO_MATCH,,,NO,"chevauchement uniquement composé de vocabulaire générique/faible (ex. ""sciences"") sans mot distinctif partagé ni corroboration (sigle exact identique) — signal insuffisant pour un doublon potentiel (SPRINT MINSANTE-G.2 §9)."
TC-10,AUTO ECOLE APPRENDRE & AIMER LA CONDUITE,,,NO_MATCH,,,NO,"chevauchement uniquement composé de vocabulaire générique/faible (ex. ""sciences"") sans mot distinctif partagé ni corroboration (sigle exact identique) — signal insuffisant pour un doublon potentiel (SPRINT MINSANTE-G.2 §9)."
TC-11,EMIPAC (École Maritime Industrielle et Portuaire de l'Afrique Centrale),Douala,Littoral,PROBABLE_MATCH,e8e9c616-69a4-4327-9102-d2156017cdcb,École Protestante Centrale de Douala,NO,"chevauchement de mots partiel (17%), insuffisant pour STRONG_MATCH."
TC-12,IT2MIP (Institut des Technologies de la Marine Marchande et Industrie Portuaire),Douala,Littoral,PROBABLE_MATCH,fd3b6ac7-4896-499d-9cdf-319e30459dea,Institut Supérieur Africain des Technologies de l'Information et de la Connaissance (ISATIC),NO,"chevauchement de mots partiel (17%), insuffisant pour STRONG_MATCH."
TC-13,Centre de formation professionnelle maritime « Le Paquebot »,Douala,Littoral,NO_MATCH,,,NO,aucun mot significatif commun avec une cible.
TC-14,Centre d'Instruction Maritime et Portuaire,,,NO_MATCH,,,NO,aucun mot significatif commun avec une cible.
TC-15,École de Formation (EFO) - CCAA,Yaoundé,Centre,NO_MATCH,,,NO,aucun mot significatif commun avec une cible.
TC-16,IRDSM Aviation,Yaoundé,Centre,NO_MATCH,,,NO,aucun mot significatif commun avec une cible.
TC-17,Fleet Management Academy,,,AMBIGUOUS,,,NO,plusieurs cibles à égalité de chevauchement (33%) — pas de gagnant clair.
