candidate_name,match_type,matched_target_id,matched_target_name,reason
"Institut Supérieur des Sciences, de Technologie, de Management et Développement Durable (ISSTMADD)",PROBABLE_MATCH,3fba2a5d-6438-4f0d-8307-ca2b1b3e9a53,Higher Institute for Business and management Sciences,"chevauchement de mots (33%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
Sanda Institut Supérieur de Management (SISMA),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (33%) — pas de gagnant clair.
Institut d’Emergence de la Santé et des Sciences Biomédicales de Ngaoundéré ( INESSBIN),AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (17%) — pas de gagnant clair.
Institut Supérieur Yérima    Dewa,EXACT_IDENTITY,staging:2a1726f8-d206-432a-bbf8-5e36bfd05cc6,Institut Supérieur Yérima    Dewa,nom exact (mots de catégorie préservés) + géographie confirmée cohérente.
Institut Supérieur Fondation Mamadou Bako,EXACT_IDENTITY,staging:6f7c1286-c274-4a2b-9309-0f225b8c7526,Institut Supérieur Fondation Mamadou Bako,nom exact (mots de catégorie préservés) + géographie confirmée cohérente.
Institut Supérieur du Septentrion Informatique,EXACT_IDENTITY,staging:034563dc-d15e-4bf8-8c38-403f479e6223,Institut Supérieur du Septentrion Informatique,nom exact (mots de catégorie préservés) + géographie confirmée cohérente.
Institut Supérieur Industriel et Commercial de Garoua,PROBABLE_MATCH,c9ab3adf-edda-4d95-bfd7-2cbce3a64b20,ISTDI – Institut Sup. de Technologie et du Design Industriel,"chevauchement de mots (33%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
Institut Supérieur des Sciences et Techniques de la Santé,AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (33%) — pas de gagnant clair.
Kesmonds International University Institute,PROBABLE_MATCH,57cae063-bccf-4727-82ad-d3eb70259205,International University of Bamenda,"chevauchement de mots (50%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
WALYA SUP,EXACT_IDENTITY,staging:b6e152f1-a14b-4782-b755-d3d6eda77f81,WALYA SUP,nom exact (mots de catégorie préservés) + géographie confirmée cohérente.
Jagora University,EXACT_IDENTITY,staging:be6396c7-d8c0-470b-aaf3-ac6379b0a45f,Jagora University,nom exact (mots de catégorie préservés) + géographie confirmée cohérente.
Cameroon Bilingual Higher Institute (CBHI),EXACT_IDENTITY,staging:918ab878-574f-4383-9733-659ff92bdca3,Cameroon Bilingual Higher Institute (CBHI),nom exact (mots de catégorie préservés) + géographie confirmée cohérente.
Centre International des Etudes Polytechniques d’Obala,AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (20%) — pas de gagnant clair.
Citec Higher Institute of Technology and Management (ICTU),PROBABLE_MATCH,0b253a9f-bb04-47d9-8934-8d9f5a231ef6,"Paul Nkwi Higher Institute of Management, Science, Arts and Technology (PN-HIMSAT)","chevauchement de mots (50%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
"Comfort Higher Institute of Health, Management and Education (CHIHME)",AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (20%) — pas de gagnant clair.
Ecole Sup Prépa,EXACT_IDENTITY,staging:1bae808d-159e-448d-8956-fc54c892b36a,Ecole Sup Prépa,nom exact (mots de catégorie préservés) + géographie confirmée cohérente.
Ecole Supérieure Africaine de Technologies Appliquées et de Gestion (ESATAG),PROBABLE_MATCH,staging:a79be0ce-d561-4a1f-8de6-c55dfe2f50cc,Institut Supérieur de Technologies Appliquées (INSTAP),"chevauchement de mots (40%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
Ecole Supérieure de Commerce et de Gestion des Entreprises (SUP de CO),PROBABLE_MATCH,be435b04-bf87-44da-808d-0033c60c6e66,Institut Supérieur de Commerce et de Gestion (ISCG),"chevauchement de mots (67%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
Ecole Supérieure de Commerce et de Gestion de Yaoundé (ESCGY),PROBABLE_MATCH,be435b04-bf87-44da-808d-0033c60c6e66,Institut Supérieur de Commerce et de Gestion (ISCG),"chevauchement de mots (50%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
Ecole Supérieure de Management et des Technologies Appliquées « ESMATA»,PROBABLE_MATCH,staging:a79be0ce-d561-4a1f-8de6-c55dfe2f50cc,Institut Supérieur de Technologies Appliquées (INSTAP),"chevauchement de mots (50%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
"Ecole Supérieure des Sciences de la Finance, de l’Assurance et des Risques de Yaoundé (ESSFAR)",AMBIGUOUS,,,plusieurs cibles à égalité de chevauchement (17%) — pas de gagnant clair.
