candidate_id,name,provenance_complete,source_url_present,source_url,sha256_present,sha256,note
TC-01,AUTO ECOLE ASTRALE,YES,YES,https://africannuaire.com/entreprise/auto-ecole-astrale-cameroun/,YES,48d6092a49454f227a8a171ff469e59a2ca5b1d2fd647108901cfdea9f5c9d06,Fully verified this sprint's manifest (URL + sha256 + tier3_class).
TC-02,AUTO ECOLE FRANCAISE,NO,YES,https://africannuaire.com/resultat/?infos=Auto-%C3%A9coles&ville=Cameroun,NO,,"URL recovered from TRANSPORT-A.1 manifest (domain-level listing page, e.g. shared africannuaire.com search result) — no dedicated per-institution snapshot/sha256 exists for this specific entry."
TC-03,AUTO ECOLE GERMANIA,NO,YES,https://africannuaire.com/resultat/?infos=Auto-%C3%A9coles&ville=Cameroun,NO,,"URL recovered from TRANSPORT-A.1 manifest (domain-level listing page, e.g. shared africannuaire.com search result) — no dedicated per-institution snapshot/sha256 exists for this specific entry."
TC-04,AUTO ECOLE LEO,NO,YES,https://africannuaire.com/resultat/?infos=Auto-%C3%A9coles&ville=Cameroun,NO,,"URL recovered from TRANSPORT-A.1 manifest (domain-level listing page, e.g. shared africannuaire.com search result) — no dedicated per-institution snapshot/sha256 exists for this specific entry."
TC-05,AUTO ECOLE TRECY,NO,YES,https://africannuaire.com/resultat/?infos=Auto-%C3%A9coles&ville=Cameroun,NO,,"URL recovered from TRANSPORT-A.1 manifest (domain-level listing page, e.g. shared africannuaire.com search result) — no dedicated per-institution snapshot/sha256 exists for this specific entry."
TC-06,AUTO ECOLE TURBO,NO,YES,https://africannuaire.com/resultat/?infos=Auto-%C3%A9coles&ville=Cameroun,NO,,"URL recovered from TRANSPORT-A.1 manifest (domain-level listing page, e.g. shared africannuaire.com search result) — no dedicated per-institution snapshot/sha256 exists for this specific entry."
TC-07,AUTO ECOLE TURBO NKOMKANA,NO,YES,https://africannuaire.com/resultat/?infos=Auto-%C3%A9coles&ville=Cameroun,NO,,"URL recovered from TRANSPORT-A.1 manifest (domain-level listing page, e.g. shared africannuaire.com search result) — no dedicated per-institution snapshot/sha256 exists for this specific entry."
TC-08,METROPOLITAINE INTERNATIONALE SCES,NO,YES,https://africannuaire.com/resultat/?infos=Auto-%C3%A9coles&ville=Cameroun,NO,,"URL recovered from TRANSPORT-A.1 manifest (domain-level listing page, e.g. shared africannuaire.com search result) — no dedicated per-institution snapshot/sha256 exists for this specific entry."
TC-09,AUTO ECOLE MONTHE,NO,NO,,NO,,"No persisted URL found for source ""TRANSPORT-A.1"" / domain ""sites.google.com"" in transport-tier3-v1 or transport-a1 manifests — TRANSPORT-A citation without a locatable manifest entry."
TC-10,AUTO ECOLE APPRENDRE & AIMER LA CONDUITE,NO,NO,,NO,,"No persisted URL found for source ""TRANSPORT-A.1"" / domain ""road-safety-charter.ec.europa.eu"" in transport-tier3-v1 or transport-a1 manifests — TRANSPORT-A citation without a locatable manifest entry."
TC-11,EMIPAC (École Maritime Industrielle et Portuaire de l'Afrique Centrale),YES,YES,https://maritimafrica.com/ecole-maritime-industrielle-et-portuaire-de-lafrique-centrale-emipac-cameroun/,YES,1241e88ad664a7b78d7f295e60c8d3e7e6e102b060f82346d0da9c729e0beb42,Fully verified this sprint's manifest (URL + sha256 + tier3_class).
TC-12,IT2MIP (Institut des Technologies de la Marine Marchande et Industrie Portuaire),YES,YES,https://kamerpower.com/fr/institut-des-technologies-de-la-marine-marchande-et-industrie-portuaire-it2mip-douala/,YES,b69f39695dfb5fa23cffc581d8a7d0a723e410f0eedf3282b62fc989a3aee0ba,Fully verified this sprint's manifest (URL + sha256 + tier3_class).
TC-13,Centre de formation professionnelle maritime « Le Paquebot »,YES,YES,https://www.facebook.com/p/Centre-de-formation-professionnelle-maritime-le-paquebot-de-Douala-100075842125767/,YES,2f95168f6f6f82c8c96d020f8d3a1ee140ad5fcc0a4b5ad89c42bb3f7a92b630,"No persisted URL found for source ""TRANSPORT-A"" / domain ""unspecified (reported, prior sprint)"" in transport-tier3-v1 or transport-a1 manifests — TRANSPORT-A citation without a locatable manifest entry."
TC-14,Centre d'Instruction Maritime et Portuaire,NO,NO,,NO,,"No persisted URL found for source ""TRANSPORT-A"" / domain ""unspecified (reported, prior sprint)"" in transport-tier3-v1 or transport-a1 manifests — TRANSPORT-A citation without a locatable manifest entry."
TC-15,École de Formation (EFO) - CCAA,YES,YES,https://www.ccaa.aero/index.php/fr/,YES,e42dc7275e4e9ac3622b2acb3d6d6801d57e31df1b8caea60b4aeabbc564fa6f,"URL recovered from TRANSPORT-A.1 manifest (domain-level listing page, e.g. shared africannuaire.com search result) — no dedicated per-institution snapshot/sha256 exists for this specific entry."
TC-16,IRDSM Aviation,NO,NO,,NO,,"No persisted URL found for source ""TRANSPORT-A.1"" / domain ""groupe-dsm.net/aviation"" in transport-tier3-v1 or transport-a1 manifests — TRANSPORT-A citation without a locatable manifest entry. | No persisted URL found for source ""TRANSPORT-A.1"" / domain ""journalducameroun.com / afriksurseine.com (press, per A.1)"" in transport-tier3-v1 or transport-a1 manifests — TRANSPORT-A citation without a locatable manifest entry."
TC-17,Fleet Management Academy,NO,NO,,NO,,"No persisted URL found for source ""TRANSPORT-A"" / domain ""MINEFOP institutional page (per TRANSPORT-A report)"" in transport-tier3-v1 or transport-a1 manifests — TRANSPORT-A citation without a locatable manifest entry."
