candidate_name,city,entity_family,authority,source,source_tier,identifier,cross_ministry_signal,match_level,matched_target_id,matched_target_name,matched_target_region,safe_for_auto_link,reason
AUTO ECOLE ASTRALE,Yaoundé,TRAINING_ESTABLISHMENT (auto-école),Aucune — nom trouvé via annuaire privé,"africannuaire.com (annuaire privé, éditeur SPHM Editions)","3 (discovery, non gouvernemental)",,,PROBABLE_MATCH,3d1ae610-92ba-42df-8b7d-d0fce18dd296,Auto-École La Route Sûre,Centre,NO,"chevauchement de mots partiel (50%), insuffisant pour STRONG_MATCH."
AUTO ECOLE FRANCAISE,Douala,TRAINING_ESTABLISHMENT (auto-école),Aucune — nom trouvé via annuaire privé,"africannuaire.com (annuaire privé, éditeur SPHM Editions)","3 (discovery, non gouvernemental)",,,AMBIGUOUS,,,,NO,plusieurs cibles à égalité de chevauchement (50%) — pas de gagnant clair.
AUTO ECOLE GERMANIA,Douala,TRAINING_ESTABLISHMENT (auto-école),Aucune — nom trouvé via annuaire privé,"africannuaire.com (annuaire privé, éditeur SPHM Editions)","3 (discovery, non gouvernemental)",,,PROBABLE_MATCH,b96df2ac-8888-4867-ac2b-bd2062b87600,Auto-École Madiba,Littoral,NO,"chevauchement de mots partiel (50%), insuffisant pour STRONG_MATCH."
AUTO ECOLE LEO,Yaoundé,TRAINING_ESTABLISHMENT (auto-école),Aucune — nom trouvé via annuaire privé,"africannuaire.com (annuaire privé, éditeur SPHM Editions)","3 (discovery, non gouvernemental)",,,STRONG_MATCH,3d1ae610-92ba-42df-8b7d-d0fce18dd296,Auto-École La Route Sûre,Centre,NO,chevauchement de mots fort (100%) + géographie cohérente.
AUTO ECOLE TRECY,Yaoundé,TRAINING_ESTABLISHMENT (auto-école),Aucune — nom trouvé via annuaire privé,"africannuaire.com (annuaire privé, éditeur SPHM Editions)","3 (discovery, non gouvernemental)",,,PROBABLE_MATCH,3d1ae610-92ba-42df-8b7d-d0fce18dd296,Auto-École La Route Sûre,Centre,NO,"chevauchement de mots partiel (50%), insuffisant pour STRONG_MATCH."
EMIPAC (École Maritime Industrielle et Portuaire de l'Afrique Centrale),Douala,TRAINING_ESTABLISHMENT (maritime),Aucune corroboration officielle MINT/DAMVN trouvée,"maritimafrica.com (site tiers, non gouvernemental)","3 (discovery, non gouvernemental)",,,PROBABLE_MATCH,e8e9c616-69a4-4327-9102-d2156017cdcb,École Protestante Centrale de Douala,Littoral,NO,"chevauchement de mots partiel (17%), insuffisant pour STRONG_MATCH."
IT2MIP (Institut des Technologies de la Marine Marchande et Industrie Portuaire),Douala,TRAINING_ESTABLISHMENT (maritime),"MINEFOP (revendiqué par le site de l'institut, non vérifié directement dans un registre MINEFOP officiel)","kamerpower.com (site tiers, non gouvernemental)","3 (discovery, non gouvernemental)",,"MINEFOP (revendiqué, non corroboré directement) — chevauchement contenu transport/tutelle MINEFOP, même pattern que Fleet Management Academy (TRANSPORT-A)",AMBIGUOUS,,,,NO,plusieurs cibles à égalité de chevauchement (17%) — pas de gagnant clair.
École de Formation (EFO) — CCAA,Yaoundé,TRAINING_ESTABLISHMENT (aviation) — statut admission public/interne non tranché,CCAA (Cameroon Civil Aviation Authority),ccaa.aero (site officiel de l'autorité),"2 (autorité officielle apparentée, pas une liste nominative d'ATO tiers)",,,NO_MATCH,,,,NO,aucun mot significatif commun avec une cible.
IRDSM Aviation,Yaoundé,"TRAINING_ESTABLISHMENT (aviation, privé)","CCAA (agrément revendiqué par l'école elle-même, non confirmé sur une liste CCAA publiée)","groupe-dsm.net/aviation (site de l'école, non gouvernemental)","3 (discovery, auto-déclaration d'agrément non corroborée par une liste officielle)",,,NO_MATCH,,,,NO,aucun mot significatif commun avec une cible.
Fleet Management Academy,,TRAINING_ESTABLISHMENT (transport/logistique — conduite défensive),MINEFOP,"TRANSPORT-A (site institutionnel MINEFOP, agrément N°000471 du 19-09-2022)","2 (agrément MINEFOP cité par la source, non revérifié directement dans un registre MINEFOP consultable ce sprint)","N°000471 (MINEFOP, 19-09-2022) — agrément conduite défensive, PAS un agrément MINT/DTT","MINEFOP — contenu transport (conduite défensive) sous tutelle MINEFOP, pas MINT",AMBIGUOUS,,,,NO,plusieurs cibles à égalité de chevauchement (33%) — pas de gagnant clair.
