candidate_id,name,ministries,previous_status,source_1,source_1_tier,source_2,source_2_tier,independent_source_count,official_source_found,identity_confidence,geo_confidence,category_confidence,duplicate_signal,cross_ministry_signal,official_identifier,identifier_source,final_certainty,publication_decision,reason
"MINESUP-E:ACHAS Higher Institute of Sustainable Tourism, Hospitality and Business Management","ACHAS Higher Institute of Sustainable Tourism, Hospitality and Business Management",MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,"chevauchement de mots (50%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
MINESUP-E:ANDANGKENG Higher Institute of Professional Studies (AHIPS),ANDANGKENG Higher Institute of Professional Studies (AHIPS),MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (50%) — pas de gagnant clair.
MINESUP-E:Access Higher Institute of Professional Studies (Access-HIPS),Access Higher Institute of Professional Studies (Access-HIPS),MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (40%) — pas de gagnant clair.
MINESUP-E:Access Higher Institute of Professional Studies (Access-HIPS),Access Higher Institute of Professional Studies (Access-HIPS),MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (40%) — pas de gagnant clair.
MINESUP-E:Alpha Higher Institute of Biomedical and Technological Sciences,Alpha Higher Institute of Biomedical and Technological Sciences,MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (50%) — pas de gagnant clair.
MINESUP-E:British Higher Institute of Science and Technology (BHIST),British Higher Institute of Science and Technology (BHIST),MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (50%) — pas de gagnant clair.
MINESUP-E:Canadian Higher Institute of Technology (CHIT),Canadian Higher Institute of Technology (CHIT),MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (33%) — pas de gagnant clair.
MINESUP-E:Catholic University Institute of Buea,Catholic University Institute of Buea,MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (50%) — pas de gagnant clair.
MINESUP-E:Catholic University Institute of Mamfe,Catholic University Institute of Mamfe,MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (50%) — pas de gagnant clair.
MINESUP-E:Centre International des Etudes Polytechniques d’Obala,Centre International des Etudes Polytechniques d’Obala,MINESUP,DUPLICATE_REVIEW,reports/registry/minesup-e-national-candidates.csv,"Tier-3 (internal prior-sprint durable artifact, not re-verified this sprint)",,,1,NO,DUPLICATE_REVIEW,,,YES,NO,,,CONFLICTING,DO_NOT_PUBLISH_THIS_SPRINT,plusieurs cibles à égalité de chevauchement (20%) — pas de gagnant clair.
