candidate_id,name,city,region,live_match_level,live_match_target,staging_match_level,staging_match_target,combined_level,routing
TC-01,AUTO ECOLE ASTRALE,Yaoundé,Centre,NO_MATCH,,NO_MATCH,,NO_MATCH,
TC-02,AUTO ECOLE FRANCAISE,Douala,Littoral,PROBABLE_MATCH,École Française de Douala – Pierre Loti,NO_MATCH,,PROBABLE_MATCH,
TC-03,AUTO ECOLE GERMANIA,Douala,Littoral,NO_MATCH,,NO_MATCH,,NO_MATCH,
TC-04,AUTO ECOLE LEO,Yaoundé,Centre,NO_MATCH,,NO_MATCH,,NO_MATCH,
TC-05,AUTO ECOLE TRECY,Yaoundé,Centre,NO_MATCH,,NO_MATCH,,NO_MATCH,
TC-06,AUTO ECOLE TURBO,Yaoundé,Centre,NO_MATCH,,NO_MATCH,,NO_MATCH,
TC-07,AUTO ECOLE TURBO NKOMKANA,Yaoundé,Centre,NO_MATCH,,NO_MATCH,,NO_MATCH,
TC-08,METROPOLITAINE INTERNATIONALE SCES,Yaoundé,Centre,NO_MATCH,,PROBABLE_MATCH,"COMPLEXE SCOLAIRE INTERNATIONALE ""LA GAIETE",PROBABLE_MATCH,
TC-09,AUTO ECOLE MONTHE,,,NO_MATCH,,NO_MATCH,,NO_MATCH,
TC-10,AUTO ECOLE APPRENDRE & AIMER LA CONDUITE,,,NO_MATCH,,NO_MATCH,,NO_MATCH,
TC-11,EMIPAC (École Maritime Industrielle et Portuaire de l'Afrique Centrale),Douala,Littoral,PROBABLE_MATCH,École Protestante Centrale de Douala,NO_MATCH,,PROBABLE_MATCH,
TC-12,IT2MIP (Institut des Technologies de la Marine Marchande et Industrie Portuaire),Douala,Littoral,PROBABLE_MATCH,Institut Supérieur Africain des Technologies de l'Information et de la Connaissance (ISATIC),PROBABLE_MATCH,Institut Supérieur Africain des Technologies de l'Information et de la Connaissance (ISATIC),PROBABLE_MATCH,
TC-13,Centre de formation professionnelle maritime « Le Paquebot »,Douala,Littoral,NO_MATCH,,NO_MATCH,,NO_MATCH,
TC-14,Centre d'Instruction Maritime et Portuaire,,,NO_MATCH,,NO_MATCH,,NO_MATCH,
TC-15,École de Formation (EFO) - CCAA,Yaoundé,Centre,NO_MATCH,,NO_MATCH,,NO_MATCH,
TC-16,IRDSM Aviation,Yaoundé,Centre,NO_MATCH,,NO_MATCH,,NO_MATCH,
TC-17,Fleet Management Academy,,,AMBIGUOUS,,AMBIGUOUS,,AMBIGUOUS,
