candidate_name,candidate_region,programs,match_level,matched_target_id,matched_target_name,matched_target_region,safe_for_auto_link,reason
ECOLE PRIVEE DE FORMATION DES PERSONNELS MEDICO-SANITAIRES DE NGAOUNDERE,Adamaoua,Infirmiers | Sages-femmes/Maïeuticiens,AMBIGUOUS,,,,NO,plusieurs cibles à égalité de chevauchement (20%) — pas de gagnant clair.
ECOLE DE FORMATION DU PERSONNEL DE SANTE ISSTMADD,Adamaoua,Analyses Médicales | Infirmiers,AMBIGUOUS,,,,NO,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.
ECOLE PRIVEE DE FORMATION DES PERSONNELS MEDICO-SANITAIRES LIFE INSTITUT DE MBANKOMO,Centre,Analyses Médicales | Infirmiers,AMBIGUOUS,,,,NO,plusieurs cibles à égalité de chevauchement (17%) — pas de gagnant clair.
CENTRE DE FORMATION DU PERSONNEL PARAMEDICAL (CFPP) DE YAOUNDE,Centre,Analyses Médicales,PROBABLE_MATCH,c716cf29-a254-4a6e-856f-148b85eba71d,Centre de Formation en Couture et Mode de Yaoundé,Centre,NO,"chevauchement de mots partiel (50%), insuffisant pour STRONG_MATCH."
ECOLE PRIVEE CATHOLIQUE DE FORMATION DU PERSONNEL PARAMEDICAL DE BATOURI,Est,Analyses Médicales | Infirmiers,AMBIGUOUS,,,,NO,plusieurs cibles à égalité de chevauchement (20%) — pas de gagnant clair.
ECOLE PRIVEE DE FORMATION DES PERSONNELS DE SANTE FONDATION EVA POUR LA SANTE A L'EST,Est,Infirmiers,PROBABLE_MATCH,cab31a09-6fa9-4bc9-99fe-a44ee51a8ea0,Institut Supérieur de Santé,Littoral,NO,"chevauchement de mots (33%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
ECOLE PRIVEE DE FORMATION DES PERSONNELS MEDICO-SANITAIRES (EFOPSA) DE MOKOLO,Extrême-Nord,Analyses Médicales | Infirmiers | Sages-femmes/Maïeuticiens,AMBIGUOUS,,,,NO,plusieurs cibles à égalité de chevauchement (17%) — pas de gagnant clair.
ECOLE DE FORMATION DES PERSONNELS DE SANTE FONDATION BOBUIN DE DOUALA,Extrême-Nord,Sages-femmes/Maïeuticiens,AMBIGUOUS,,,,NO,plusieurs cibles à égalité de chevauchement (17%) — pas de gagnant clair.
COMPLEXE PRIVE DE FORMATION DES PERSONNELS INFIRMIERS ET MEDICO-SANITAIRES FONDATION NYACKE NGOLLO DE KAKE-SOUZA,Littoral,Infirmiers,AMBIGUOUS,,,,NO,plusieurs cibles à égalité de chevauchement (10%) — pas de gagnant clair.
"COMPLEXE PRIVE DE FORMATION DU PERSONNEL MEDICO-SANITAIRE ""ALPHA OMEGA"" DE NDOUNGUE",Littoral,Analyses Médicales,PROBABLE_MATCH,9796b99c-c0d2-4afc-8b44-d485624ca70f,Institut Supérieur du Personnel Médico- Sanitaire (ISPM),Centre,NO,"chevauchement de mots (43%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
ECOLE DE FORMATION DES PERSONNELS DE SANTE DE GUIDER (EFOPSAG),Nord,Analyses Médicales | Infirmiers | Odontostomatologie | Sages-femmes/Maïeuticiens,AMBIGUOUS,,,,NO,plusieurs cibles à égalité de chevauchement (20%) — pas de gagnant clair.
ECOLE DES PROFESSIONS DE SANTE � LES AIGLES � DE GAROUA,Nord,Analyses Médicales | Infirmiers | Odontostomatologie | Sages-femmes/Maïeuticiens,AMBIGUOUS,,,,NO,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.
ECOLE DES TECHNICIENS MEDICO-SANITAIRES DE BAMENDA,Nord-Ouest,Analyses Médicales,AMBIGUOUS,,,,NO,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.
"ECOLE PRIVEE ""FULL GOSPEL TRAINING SCHOOL FOR HEALTH PERSONNEL"" DE BAMENDA",Nord-Ouest,Infirmiers,AMBIGUOUS,,,,NO,plusieurs cibles à égalité de chevauchement (17%) — pas de gagnant clair.
"COMPLEXE PRIVE DE FORMATION DES PERSONNELS MEDICO-SANITAIRES ""FONDATION TSOPJIO ET TAKOUDJOU"" DE DSCHANG",Ouest,Analyses Médicales | Infirmiers,AMBIGUOUS,,,,NO,plusieurs cibles à égalité de chevauchement (13%) — pas de gagnant clair.
COMPLEXE PRIVE DE FORMATION DU PERSONNEL MEDICO-SANITAIRE DE MBOUDA,Ouest,Infirmiers,PROBABLE_MATCH,9796b99c-c0d2-4afc-8b44-d485624ca70f,Institut Supérieur du Personnel Médico- Sanitaire (ISPM),Centre,NO,"chevauchement de mots (60%) mais géographie CONTRADICTOIRE — signal affaibli, revue requise."
CENTRE DE FORMATION DU PERSONNEL PARAMEDICAL CAMELOS (CFPS) DE BIWONG BANE,Sud,Analyses Médicales | Infirmiers | Sages-femmes/Maïeuticiens,AMBIGUOUS,,,,NO,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.
ECOLE DE FORMATION DES PERSONNELS SANITAIRES � ECOLE PRIVEE LA GRACE� D'EBOLOWA,Sud,Analyses Médicales | Infirmiers,AMBIGUOUS,,,,NO,plusieurs cibles à égalité de chevauchement (20%) — pas de gagnant clair.
ECOLE PRIVEE DIVINE AMORE SCHOOL FOR MIDWIVES AND HEALTH PERSONNEL DE KUMBA,Sud-Ouest,Infirmiers,AMBIGUOUS,,,,NO,plusieurs cibles à égalité de chevauchement (17%) — pas de gagnant clair.
ECOLE DES INFIRMIERS DIPLOMES D'ETAT DE LIMBE,Sud-Ouest,Infirmiers,AMBIGUOUS,,,,NO,plusieurs cibles à égalité de chevauchement (25%) — pas de gagnant clair.
