relationship,overlap_ratio,school_a_id,school_a_name,school_a_region,school_b_id,school_b_name,school_b_region,reason
AMBIGUOUS,0.50,065378be09b344e6,ECOLE DE FORMATION DU PERSONNEL DE SANTE ISSTMADD,Adamaoua,a58808cf346b4df0,ECOLE PRIVEE DE FORMATION DES PROFESSIONNELS DE LA SANTE DE MEIGANGA,Adamaoua,"Chevauchement de mots partiel (50%), même région — ambigu, ne peut pas être classé automatiquement. Reste deux candidats séparés (§9)."
AMBIGUOUS,0.40,065378be09b344e6,ECOLE DE FORMATION DU PERSONNEL DE SANTE ISSTMADD,Adamaoua,3cd856735fa4862c,ECOLE PRIVEE DE FORMATION DU PERSONNEL PARAMEDICAL AREWA DE BANYO,Adamaoua,"Chevauchement de mots partiel (40%), même région — ambigu, ne peut pas être classé automatiquement. Reste deux candidats séparés (§9)."
AMBIGUOUS,0.50,065378be09b344e6,ECOLE DE FORMATION DU PERSONNEL DE SANTE ISSTMADD,Adamaoua,623277ef29b10dfc,ECOLE PRIVEE DE FORMATION DES PERSONNELS DE LA SANTE DE MEIGANGA,Adamaoua,"Chevauchement de mots partiel (50%), même région — ambigu, ne peut pas être classé automatiquement. Reste deux candidats séparés (§9)."
LIKELY_SAME_SCHOOL,0.80,065378be09b344e6,ECOLE DE FORMATION DU PERSONNEL DE SANTE ISSTMADD,Adamaoua,81664c18d766e39d,ECOLE DE FORMATION DU PERSONNEL DE SANTE ISSTMADD (NGAOUNDERE),Adamaoua,"Chevauchement de mots significatifs élevé (80%), même région — probablement la même école (variante de saisie), mais PAS fusionné automatiquement (§9 : pas de fuzzy auto merge)."
AMBIGUOUS,0.75,a58808cf346b4df0,ECOLE PRIVEE DE FORMATION DES PROFESSIONNELS DE LA SANTE DE MEIGANGA,Adamaoua,623277ef29b10dfc,ECOLE PRIVEE DE FORMATION DES PERSONNELS DE LA SANTE DE MEIGANGA,Adamaoua,"Chevauchement de mots partiel (75%), même région — ambigu, ne peut pas être classé automatiquement. Reste deux candidats séparés (§9)."
AMBIGUOUS,0.40,a58808cf346b4df0,ECOLE PRIVEE DE FORMATION DES PROFESSIONNELS DE LA SANTE DE MEIGANGA,Adamaoua,81664c18d766e39d,ECOLE DE FORMATION DU PERSONNEL DE SANTE ISSTMADD (NGAOUNDERE),Adamaoua,"Chevauchement de mots partiel (40%), même région — ambigu, ne peut pas être classé automatiquement. Reste deux candidats séparés (§9)."
AMBIGUOUS,0.40,88fcb343359eccb4,INSTITUT SUPERIEUR DES SCIENCES DE LA SANTE ABBOU DE NGAOUNDERE,Adamaoua,81664c18d766e39d,ECOLE DE FORMATION DU PERSONNEL DE SANTE ISSTMADD (NGAOUNDERE),Adamaoua,"Chevauchement de mots partiel (40%), même région — ambigu, ne peut pas être classé automatiquement. Reste deux candidats séparés (§9)."
AMBIGUOUS,0.43,b432d5771f1170ea,CENTRE DE FORMATION DES SCIENCES DE LA SANTE DE LA CROIX ROUGE CAMEROUNAISE,Centre,d611c53d5acdc903,COMPLEXE DE FORMATION DES SCIENCES DE SANTE MARC VIVIEN FOE DE YAOUNDE - BITENG,Centre,"Chevauchement de mots partiel (43%), même région — ambigu, ne peut pas être classé automatiquement. Reste deux candidats séparés (§9)."
AMBIGUOUS,0.50,fa5766a3220992c5,CENTRE DE FORMATION DU PERSONNEL PARAMEDICAL (CFPP) DE YAOUNDE,Centre,f1b1441ddd84ae0c,"ECOLE PRIVEE DE FORMATION DU PERSONNEL DE LA SANTE ""LA ROSIERE"" DE YAOUNDE",Centre,"Chevauchement de mots partiel (50%), même région — ambigu, ne peut pas être classé automatiquement. Reste deux candidats séparés (§9)."
AMBIGUOUS,0.50,7c65a47c04589652,ECOLE DES SCIENCES DE LA SANTE (ECOLE PRIVEE CATHOLIQUE) DE YAOUNDE,Centre,1c2acc51dbbf14db,ECOLE DES SCIENCES DE LA SANTE � LE PHENIX � DE SOA,Centre,"Chevauchement de mots partiel (50%), même région — ambigu, ne peut pas être classé automatiquement. Reste deux candidats séparés (§9)."
AMBIGUOUS,0.50,7c65a47c04589652,ECOLE DES SCIENCES DE LA SANTE (ECOLE PRIVEE CATHOLIQUE) DE YAOUNDE,Centre,a20872c7493d2055,ECOLE DES SCIENCES DE LA SANTE DE NDIKINIMEKI,Centre,"Chevauchement de mots partiel (50%), même région — ambigu, ne peut pas être classé automatiquement. Reste deux candidats séparés (§9)."
AMBIGUOUS,0.40,7c65a47c04589652,ECOLE DES SCIENCES DE LA SANTE (ECOLE PRIVEE CATHOLIQUE) DE YAOUNDE,Centre,baed7838ae0e2e26,ECOLE DES SCIENCES DE LA SANTE ET D'APPLICATION � LUMIERE� DE MBALMAYO,Centre,"Chevauchement de mots partiel (40%), même région — ambigu, ne peut pas être classé automatiquement. Reste deux candidats séparés (§9)."
AMBIGUOUS,0.40,7c65a47c04589652,ECOLE DES SCIENCES DE LA SANTE (ECOLE PRIVEE CATHOLIQUE) DE YAOUNDE,Centre,f1b1441ddd84ae0c,"ECOLE PRIVEE DE FORMATION DU PERSONNEL DE LA SANTE ""LA ROSIERE"" DE YAOUNDE",Centre,"Chevauchement de mots partiel (40%), même région — ambigu, ne peut pas être classé automatiquement. Reste deux candidats séparés (§9)."
AMBIGUOUS,0.60,7c65a47c04589652,ECOLE DES SCIENCES DE LA SANTE (ECOLE PRIVEE CATHOLIQUE) DE YAOUNDE,Centre,a99db59e36768a5f,INSTITUT DES SCIENCES ET TECHNIQUES APPLIQUEES A LA SANTE DE YAOUNDE,Centre,"Chevauchement de mots partiel (60%), même région — ambigu, ne peut pas être classé automatiquement. Reste deux candidats séparés (§9)."
AMBIGUOUS,0.50,7c65a47c04589652,ECOLE DES SCIENCES DE LA SANTE (ECOLE PRIVEE CATHOLIQUE) DE YAOUNDE,Centre,a63370c06a103a5d,INSTITUT DES SCIENCES ET TECHNOLOGIE DE LA SANTE (ISTS),Centre,"Chevauchement de mots partiel (50%), même région — ambigu, ne peut pas être classé automatiquement. Reste deux candidats séparés (§9)."
AMBIGUOUS,0.50,7c65a47c04589652,ECOLE DES SCIENCES DE LA SANTE (ECOLE PRIVEE CATHOLIQUE) DE YAOUNDE,Centre,648fad6708578f3a,INSTITUT DES SCIENCES MEDICALES DE YAOUNDE,Centre,"Chevauchement de mots partiel (50%), même région — ambigu, ne peut pas être classé automatiquement. Reste deux candidats séparés (§9)."
