staging_id,name_raw,region,previous_classification,category_evidence_type,new_category_decision,cross_ministry_decision,new_classification,reason
2c29d228-e387-4db1-a855-7425c05e6a96,ECOLE PRIVEE FONDATION JEUGEUVOU FOWANG DE BAFOUSSAM,Ouest,DUPLICATE_REVIEW,INSUFFICIENT_EVIDENCE,CATEGORY_REVIEW,DISTINCT,DUPLICATE_REVIEW,§17 — statut DUPLICATE_REVIEW préservé tel quel (ambiguïté de dédoublonnage intra-lot MINSANTE-B non résolue ce sprint) — la catégorie/frontière inter-ministérielle ne le change jamais automatiquement.
79370ccb-3f09-426f-bdc7-bc6ac9055345,ECOLE PRIVEE DES SCIENCES DE LA SANTE MENO DE BAMENA,Ouest,CATEGORY_REVIEW,OFFICIAL_INSTITUTION_SITE_SUB_BAC_ENTRY_LEVEL,AUTRES_CONFIRMED,DISTINCT,CLEAN_APPROVABLE,"Catégorie résolue (AUTRES_CONFIRMED), aucun signal de doublon (live/dédup intra-lot), aucun signal frontière inter-ministérielle, aucun problème de source, aucune PII."
b92dd780-b05c-4b47-aaa4-e6d0b6783778,"COMPLEXE PRIVE DE FORMATION DES PERSONNELS MEDICO-SANITAIRES ""FONDATION TSOPJIO ET TAKOUDJOU"" DE DSCHANG",Ouest,CATEGORY_REVIEW,OFFICIAL_MINSANTE_CREATION_DECISION_NON_HIGHER_ED,AUTRES_CONFIRMED,DISTINCT,CLEAN_APPROVABLE,"Catégorie résolue (AUTRES_CONFIRMED), aucun signal de doublon (live/dédup intra-lot), aucun signal frontière inter-ministérielle, aucun problème de source, aucune PII."
7517d1df-be2c-4b4e-bb15-fc4548735739,ECOLE DES METIERS DE LA SANTE DE BAMOUGOUM,Ouest,DUPLICATE_REVIEW,INSUFFICIENT_EVIDENCE,CATEGORY_REVIEW,DISTINCT,DUPLICATE_REVIEW,§17 — statut DUPLICATE_REVIEW préservé tel quel (ambiguïté de dédoublonnage intra-lot MINSANTE-B non résolue ce sprint) — la catégorie/frontière inter-ministérielle ne le change jamais automatiquement.
265476d2-d4fe-4e6d-adc7-39cabdc01fa8,ECOLE PRIVEE DE FORMATION DES PERSONNELS DE SANTE FONDATION SAINT MAURICE DE BAFOUSSAM,Ouest,DUPLICATE_REVIEW,INSUFFICIENT_EVIDENCE,CATEGORY_REVIEW,DISTINCT,DUPLICATE_REVIEW,§17 — statut DUPLICATE_REVIEW préservé tel quel (ambiguïté de dédoublonnage intra-lot MINSANTE-B non résolue ce sprint) — la catégorie/frontière inter-ministérielle ne le change jamais automatiquement.
109f38dc-ff92-4fb9-9028-f2f1fb065042,ECOLE DES INFIRMIERS DIPLOMES D'ETAT DE BAFOUSSAM,Ouest,DUPLICATE_REVIEW,OFFICIAL_CYCLE_DIPLOMA_NAME_IN_TITLE,AUTRES_CONFIRMED,DISTINCT,DUPLICATE_REVIEW,§17 — statut DUPLICATE_REVIEW préservé tel quel (ambiguïté de dédoublonnage intra-lot MINSANTE-B non résolue ce sprint) — la catégorie/frontière inter-ministérielle ne le change jamais automatiquement.
68c3cd5b-de66-4f3c-9c3c-fdbdaad7f54c,COMPLEXE DE FORMATION DES PERSONNELS DE SANTE � ROIS MAGES � COFPSAROMA DE BALENG,Ouest,CATEGORY_REVIEW,INSUFFICIENT_EVIDENCE,CATEGORY_REVIEW,DISTINCT,CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel, aucune désignation de cycle/diplôme reconnue dans le titre, et aucune corroboration officielle externe suffisante trouvée par la recherche ciblée MINSANTE-C (voir research_note). §8 : CATEGORY_REVIEW maintenu plutôt qu'une catégorie devinée."
3c04b5c8-4a6d-4ad8-b625-bda87186c800,COMPLEXE PRIVE DE FORMATION DU PERSONNEL DE LA SANTE DE MBOUO BANDJOUN,Ouest,CATEGORY_REVIEW,INSUFFICIENT_EVIDENCE,CATEGORY_REVIEW,DISTINCT,CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel, aucune désignation de cycle/diplôme reconnue dans le titre, et aucune corroboration officielle externe suffisante trouvée par la recherche ciblée MINSANTE-C (voir research_note). §8 : CATEGORY_REVIEW maintenu plutôt qu'une catégorie devinée."
8bf90bbd-3520-4f16-8cd7-e708892473bd,COMPLEXE PRIVE DE FORMATION DU PERSONNEL MEDICO-SANITAIRE DE MBOUDA,Ouest,CATEGORY_REVIEW,INSUFFICIENT_EVIDENCE,CATEGORY_REVIEW,DISTINCT,CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel, aucune désignation de cycle/diplôme reconnue dans le titre, et aucune corroboration officielle externe suffisante trouvée par la recherche ciblée MINSANTE-C (voir research_note). §8 : CATEGORY_REVIEW maintenu plutôt qu'une catégorie devinée."
ba827d94-6542-40fd-b811-a0d964a8bceb,ECOLE DES INFIRMIERS DIPLOMES D'ETAT DE FOUMBAN,Ouest,DUPLICATE_REVIEW,OFFICIAL_CYCLE_DIPLOMA_NAME_IN_TITLE,AUTRES_CONFIRMED,DISTINCT,DUPLICATE_REVIEW,§17 — statut DUPLICATE_REVIEW préservé tel quel (ambiguïté de dédoublonnage intra-lot MINSANTE-B non résolue ce sprint) — la catégorie/frontière inter-ministérielle ne le change jamais automatiquement.
